Genus,Disease_status,Abundance_before_rarefying,Abundance_after_rarefying,Difference_in_abundance
Blastocystis,control,133,95,38
Blastocystis,IBD,20,14,6
Candida,control,1,1,0
Candida,IBD,6,2,4
Clavispora,IBD,1,1,0
Cyberlindnera,control,2,1,1
Cyberlindnera,IBD,1,0,1
Debaryomyces,control,4,1,3
Debaryomyces,IBD,4,3,1
Giardia,control,3,0,3
Hanseniaspora,control,1,0,1
Malassezia,control,2,0,2
Malassezia,IBD,1,1,0
Meyerozyma,IBD,1,0,1
Nakaseomyces,IBD,8,6,2
Penicillium,control,8,1,7
Penicillium,IBD,4,1,3
Pichia,control,3,1,2
Saccharomyces,control,46,13,33
Saccharomyces,IBD,64,31,33
Wickerhamomyces,IBD,1,1,0
