Sample	Unique Reads	Duplicate Reads
EGAR00001763367_1000IBD00001_metagenomics_1_paired_fastp_kneaddata_paired_1	10550224.0	1974006.0
EGAR00001763367_1000IBD00001_metagenomics_1_paired_fastp_kneaddata_paired_2	10584162.0	1940068.0
EGAR00001763368_1000IBD00004_metagenomics_1_paired_fastp_kneaddata_paired_1	8351708.0	1406060.0
EGAR00001763368_1000IBD00004_metagenomics_1_paired_fastp_kneaddata_paired_2	8398143.0	1359625.0
EGAR00001763370_1000IBD00006_metagenomics_1_paired_fastp_kneaddata_paired_1	8106576.0	1518507.0
EGAR00001763370_1000IBD00006_metagenomics_1_paired_fastp_kneaddata_paired_2	8146460.0	1478623.0
EGAR00001763372_1000IBD00010_metagenomics_1_paired_fastp_kneaddata_paired_1	7795088.0	1724725.0
EGAR00001763372_1000IBD00010_metagenomics_1_paired_fastp_kneaddata_paired_2	7873406.0	1646407.0
EGAR00001763374_1000IBD00014_metagenomics_1_paired_fastp_kneaddata_paired_1	10553965.0	4407014.0
EGAR00001763374_1000IBD00014_metagenomics_1_paired_fastp_kneaddata_paired_2	10736702.0	4224277.0
EGAR00001763375_1000IBD00016_metagenomics_1_paired_fastp_kneaddata_paired_1	8403623.0	2253975.0
EGAR00001763375_1000IBD00016_metagenomics_1_paired_fastp_kneaddata_paired_2	8459430.0	2198168.0
EGAR00001763376_1000IBD00017_metagenomics_1_paired_fastp_kneaddata_paired_1	13884711.0	5320163.0
EGAR00001763376_1000IBD00017_metagenomics_1_paired_fastp_kneaddata_paired_2	14250093.0	4954781.0
EGAR00001763377_1000IBD00025_metagenomics_1_paired_fastp_kneaddata_paired_1	7497695.0	1213510.0
EGAR00001763377_1000IBD00025_metagenomics_1_paired_fastp_kneaddata_paired_2	7530681.0	1180524.0
EGAR00001763379_1000IBD00027_metagenomics_1_paired_fastp_kneaddata_paired_1	9026709.0	1535799.0
EGAR00001763379_1000IBD00027_metagenomics_1_paired_fastp_kneaddata_paired_2	9070320.0	1492188.0
EGAR00001763380_1000IBD00028_metagenomics_1_paired_fastp_kneaddata_paired_1	5359289.0	797318.0
EGAR00001763380_1000IBD00028_metagenomics_1_paired_fastp_kneaddata_paired_2	5364571.0	792036.0
EGAR00001763382_1000IBD00030_metagenomics_1_paired_fastp_kneaddata_paired_1	5214963.0	755011.0
EGAR00001763382_1000IBD00030_metagenomics_1_paired_fastp_kneaddata_paired_2	5230315.0	739659.0
EGAR00001763383_1000IBD00031_metagenomics_1_paired_fastp_kneaddata_paired_1	10604856.0	1870023.0
EGAR00001763383_1000IBD00031_metagenomics_1_paired_fastp_kneaddata_paired_2	10716025.0	1758854.0
EGAR00001763384_1000IBD00032_metagenomics_1_paired_fastp_kneaddata_paired_1	11899705.0	2884673.0
EGAR00001763384_1000IBD00032_metagenomics_1_paired_fastp_kneaddata_paired_2	11965555.0	2818823.0
EGAR00001763385_1000IBD00033_metagenomics_1_paired_fastp_kneaddata_paired_1	8160061.0	1081906.0
EGAR00001763385_1000IBD00033_metagenomics_1_paired_fastp_kneaddata_paired_2	8183653.0	1058314.0
EGAR00001763386_1000IBD00035_metagenomics_1_paired_fastp_kneaddata_paired_1	7718681.0	1885646.0
EGAR00001763386_1000IBD00035_metagenomics_1_paired_fastp_kneaddata_paired_2	7754423.0	1849904.0
EGAR00001763387_1000IBD00036_metagenomics_1_paired_fastp_kneaddata_paired_1	9365681.0	1517394.0
EGAR00001763387_1000IBD00036_metagenomics_1_paired_fastp_kneaddata_paired_2	9395209.0	1487866.0
EGAR00001763388_1000IBD00037_metagenomics_1_paired_fastp_kneaddata_paired_1	3823504.0	271390.0
EGAR00001763388_1000IBD00037_metagenomics_1_paired_fastp_kneaddata_paired_2	3832373.0	262521.0
EGAR00001763389_1000IBD00039_metagenomics_1_paired_fastp_kneaddata_paired_1	9719391.0	2196834.0
EGAR00001763389_1000IBD00039_metagenomics_1_paired_fastp_kneaddata_paired_2	9715375.0	2200850.0
EGAR00001763390_1000IBD00041_metagenomics_1_paired_fastp_kneaddata_paired_1	9388651.0	1987960.0
EGAR00001763390_1000IBD00041_metagenomics_1_paired_fastp_kneaddata_paired_2	9311141.0	2065470.0
EGAR00001763391_1000IBD00042_metagenomics_1_paired_fastp_kneaddata_paired_1	6150672.0	3251095.0
EGAR00001763391_1000IBD00042_metagenomics_1_paired_fastp_kneaddata_paired_2	6192378.0	3209389.0
EGAR00001763392_1000IBD00043_metagenomics_1_paired_fastp_kneaddata_paired_1	7056054.0	858360.0
EGAR00001763392_1000IBD00043_metagenomics_1_paired_fastp_kneaddata_paired_2	7072704.0	841710.0
EGAR00001763393_1000IBD00044_metagenomics_1_paired_fastp_kneaddata_paired_1	13739194.0	3299679.0
EGAR00001763393_1000IBD00044_metagenomics_1_paired_fastp_kneaddata_paired_2	13513333.0	3525540.0
EGAR00001763394_1000IBD00046_metagenomics_1_paired_fastp_kneaddata_paired_1	7513350.0	753527.0
EGAR00001763394_1000IBD00046_metagenomics_1_paired_fastp_kneaddata_paired_2	7444728.0	822149.0
EGAR00001763396_1000IBD00048_metagenomics_1_paired_fastp_kneaddata_paired_1	9725657.0	1838700.0
EGAR00001763396_1000IBD00048_metagenomics_1_paired_fastp_kneaddata_paired_2	9824293.0	1740064.0
EGAR00001763397_1000IBD00049_metagenomics_1_paired_fastp_kneaddata_paired_1	5860035.0	679113.0
EGAR00001763397_1000IBD00049_metagenomics_1_paired_fastp_kneaddata_paired_2	5862846.0	676302.0
EGAR00001763398_1000IBD00050_metagenomics_1_paired_fastp_kneaddata_paired_1	11608902.0	1891688.0
EGAR00001763398_1000IBD00050_metagenomics_1_paired_fastp_kneaddata_paired_2	11577016.0	1923574.0
