Sample	Unique Reads	Duplicate Reads
EGAR00001763367_1000IBD00001_metagenomics.1	10462005.0	2205014.0
EGAR00001763367_1000IBD00001_metagenomics.2	10511626.0	2155393.0
EGAR00001763368_1000IBD00004_metagenomics.1	9550532.0	1694060.0
EGAR00001763368_1000IBD00004_metagenomics.2	9625482.0	1619110.0
EGAR00001763370_1000IBD00006_metagenomics.1	8398527.0	1776383.0
EGAR00001763370_1000IBD00006_metagenomics.2	8461949.0	1712961.0
EGAR00001763372_1000IBD00010_metagenomics.1	7672599.0	1986659.0
EGAR00001763372_1000IBD00010_metagenomics.2	7786633.0	1872625.0
EGAR00001763374_1000IBD00014_metagenomics.1	10303971.0	5037795.0
EGAR00001763374_1000IBD00014_metagenomics.2	10528392.0	4813374.0
EGAR00001763375_1000IBD00016_metagenomics.1	8191319.0	2583983.0
EGAR00001763375_1000IBD00016_metagenomics.2	8273908.0	2501394.0
EGAR00001763376_1000IBD00017_metagenomics.1	13733546.0	6070422.0
EGAR00001763376_1000IBD00017_metagenomics.2	14242081.0	5561887.0
EGAR00001763377_1000IBD00025_metagenomics.1	7436689.0	1366753.0
EGAR00001763377_1000IBD00025_metagenomics.2	7477972.0	1325470.0
EGAR00001763379_1000IBD00027_metagenomics.1	8914684.0	1751485.0
EGAR00001763379_1000IBD00027_metagenomics.2	8988184.0	1677985.0
EGAR00001763380_1000IBD00028_metagenomics.1	5267406.0	958683.0
EGAR00001763380_1000IBD00028_metagenomics.2	5278696.0	947393.0
EGAR00001763382_1000IBD00030_metagenomics.1	5116037.0	944422.0
EGAR00001763382_1000IBD00030_metagenomics.2	5145515.0	914944.0
EGAR00001763383_1000IBD00031_metagenomics.1	10581409.0	2095021.0
EGAR00001763383_1000IBD00031_metagenomics.2	10726947.0	1949483.0
EGAR00001763384_1000IBD00032_metagenomics.1	11668556.0	3292861.0
EGAR00001763384_1000IBD00032_metagenomics.2	11755226.0	3206191.0
EGAR00001763385_1000IBD00033_metagenomics.1	8174409.0	1221100.0
EGAR00001763385_1000IBD00033_metagenomics.2	8211476.0	1184033.0
EGAR00001763386_1000IBD00035_metagenomics.1	7472691.0	2214606.0
EGAR00001763386_1000IBD00035_metagenomics.2	7530349.0	2156948.0
EGAR00001763387_1000IBD00036_metagenomics.1	9245045.0	1762746.0
EGAR00001763387_1000IBD00036_metagenomics.2	9287834.0	1719957.0
EGAR00001763388_1000IBD00037_metagenomics.1	5162091.0	392006.0
EGAR00001763388_1000IBD00037_metagenomics.2	5180130.0	373967.0
EGAR00001763389_1000IBD00039_metagenomics.1	9460519.0	2572610.0
EGAR00001763389_1000IBD00039_metagenomics.2	9476627.0	2556502.0
EGAR00001763390_1000IBD00041_metagenomics.1	9140705.0	2329919.0
EGAR00001763390_1000IBD00041_metagenomics.2	9047788.0	2422836.0
EGAR00001763391_1000IBD00042_metagenomics.1	6443628.0	3895376.0
EGAR00001763391_1000IBD00042_metagenomics.2	6492007.0	3846997.0
EGAR00001763392_1000IBD00043_metagenomics.1	7063851.0	978691.0
EGAR00001763392_1000IBD00043_metagenomics.2	7086331.0	956211.0
EGAR00001763393_1000IBD00044_metagenomics.1	13554674.0	3711029.0
EGAR00001763393_1000IBD00044_metagenomics.2	13252016.0	4013687.0
EGAR00001763394_1000IBD00046_metagenomics.1	7618383.0	837702.0
EGAR00001763394_1000IBD00046_metagenomics.2	7517209.0	938876.0
EGAR00001763396_1000IBD00048_metagenomics.1	9656677.0	2067300.0
EGAR00001763396_1000IBD00048_metagenomics.2	9795577.0	1928400.0
EGAR00001763397_1000IBD00049_metagenomics.1	5874379.0	770755.0
EGAR00001763397_1000IBD00049_metagenomics.2	5881522.0	763612.0
EGAR00001763398_1000IBD00050_metagenomics.1	11545837.0	2139415.0
EGAR00001763398_1000IBD00050_metagenomics.2	11501988.0	2183264.0
EGAR00001763399_1000IBD00053_metagenomics.1	8295145.0	1470836.0
EGAR00001763399_1000IBD00053_metagenomics.2	8361087.0	1404894.0
EGAR00001763400_1000IBD00054_metagenomics.1	5317715.0	424099.0
EGAR00001763400_1000IBD00054_metagenomics.2	5338724.0	403090.0
EGAR00001763401_1000IBD00058_metagenomics.1	12024811.0	2891978.0
EGAR00001763401_1000IBD00058_metagenomics.2	12045627.0	2871162.0
EGAR00001763402_1000IBD00059_metagenomics.1	15755765.0	5280251.0
EGAR00001763402_1000IBD00059_metagenomics.2	16039629.0	4996387.0
EGAR00001763403_1000IBD00060_metagenomics.1	8815668.0	1983824.0
EGAR00001763403_1000IBD00060_metagenomics.2	8651947.0	2147545.0
EGAR00001763404_1000IBD00063_metagenomics.1	8224942.0	2008973.0
EGAR00001763404_1000IBD00063_metagenomics.2	8318117.0	1915798.0
EGAR00001763405_1000IBD00064_metagenomics.1	9510601.0	2390859.0
EGAR00001763405_1000IBD00064_metagenomics.2	9639348.0	2262112.0
EGAR00001763406_1000IBD00066_metagenomics.1	11974532.0	2570443.0
EGAR00001763406_1000IBD00066_metagenomics.2	11876953.0	2668022.0
EGAR00001763407_1000IBD00067_metagenomics.1	9622426.0	2725675.0
EGAR00001763407_1000IBD00067_metagenomics.2	9901373.0	2446728.0
EGAR00001763408_1000IBD00068_metagenomics.1	5925576.0	795487.0
EGAR00001763408_1000IBD00068_metagenomics.2	5967518.0	753545.0
EGAR00001763409_1000IBD00069_metagenomics.1	9619653.0	3621959.0
EGAR00001763409_1000IBD00069_metagenomics.2	9675123.0	3566489.0
EGAR00001763410_1000IBD00072_metagenomics.1	9879089.0	3310800.0
EGAR00001763410_1000IBD00072_metagenomics.2	9759080.0	3430809.0
EGAR00001763411_1000IBD00074_metagenomics.1	5929883.0	862852.0
EGAR00001763411_1000IBD00074_metagenomics.2	5948365.0	844370.0
EGAR00001763412_1000IBD00076_metagenomics.1	6200592.0	813920.0
EGAR00001763412_1000IBD00076_metagenomics.2	6233731.0	780781.0
EGAR00001763413_1000IBD00077_metagenomics.1	10902661.0	3439346.0
EGAR00001763413_1000IBD00077_metagenomics.2	10901583.0	3440424.0
EGAR00001763414_1000IBD00078_metagenomics.1	5868165.0	755698.0
EGAR00001763414_1000IBD00078_metagenomics.2	5851734.0	772129.0
EGAR00001763415_1000IBD00082_metagenomics.1	8177939.0	1691994.0
EGAR00001763415_1000IBD00082_metagenomics.2	8134470.0	1735463.0
EGAR00001763416_1000IBD00084_metagenomics.1	9650605.0	1276184.0
EGAR00001763416_1000IBD00084_metagenomics.2	9669418.0	1257371.0
EGAR00001763417_1000IBD00086_metagenomics.1	5497104.0	620454.0
EGAR00001763417_1000IBD00086_metagenomics.2	5519271.0	598287.0
EGAR00001763418_1000IBD00087_metagenomics.1	8496838.0	1408849.0
EGAR00001763418_1000IBD00087_metagenomics.2	8584561.0	1321126.0
EGAR00001763419_1000IBD00088_metagenomics.1	5214117.0	626781.0
EGAR00001763419_1000IBD00088_metagenomics.2	5193167.0	647731.0
EGAR00001763420_1000IBD00095_metagenomics.1	9917222.0	1772151.0
EGAR00001763420_1000IBD00095_metagenomics.2	10010325.0	1679048.0
EGAR00001763421_1000IBD00097_metagenomics.1	10122490.0	2282192.0
EGAR00001763421_1000IBD00097_metagenomics.2	10008814.0	2395868.0
EGAR00001763422_1000IBD00099_metagenomics.1	15641677.0	3338135.0
EGAR00001763422_1000IBD00099_metagenomics.2	15704351.0	3275461.0
EGAR00001763423_1000IBD00100_metagenomics.1	7680132.0	1918676.0
