sampleid	Name	Taxid	Observed_markers	Read_counts	Percent_observed_markers	Total_marker_coverage	Percent_identity
SRR5127397	Blastocystis sp. subtype 2	944160	4	9	19.05%	6.31%	98.23%
SRR5127400	Blastocystis sp. subtype 3	944168	7	16	31.82%	6.22%	99.73%
SRR5127406	Blastocystis sp. subtype 3	944168	6	11	27.27%	3.57%	99.17%
SRR5127408	Blastocystis sp. subtype 3	944168	2	6	9.09%	3.88%	98.75%
SRR5127411	Blastocystis sp. ATCC 50177/Nand II	478820	11	24	55.0%	7.04%	98.4%
SRR5127412	Blastocystis sp. ATCC 50177/Nand II	478820	3	7	15.0%	10.68%	99.45%
SRR5127417	Penicillium roqueforti FM164	1365484	16	30	8.04%	4.68%	100.0%
SRR5127425	Blastocystis sp. subtype 3	944168	4	8	18.18%	4.03%	99.59%
SRR5127425	Saccharomyces cerevisiae S288C	559292	3	5	1.65%	4.41%	100.0%
SRR5127434	Blastocystis sp. subtype 2	944160	3	8	14.29%	3.59%	100.0%
SRR5127455	Blastocystis sp. subtype 2	944160	4	4	19.05%	4.75%	97.84%
SRR5127456	Blastocystis sp. subtype 3	944168	4	6	18.18%	5.76%	99.79%
SRR5127457	Blastocystis sp. ATCC 50177/Nand II	478820	7	14	35.0%	5.31%	99.14%
SRR5127459	Blastocystis sp. subtype 2	944160	5	9	23.81%	5.33%	99.01%
SRR5127461	Candida sake	39397	2	4	1.11%	7.53%	98.55%
SRR5127463	Blastocystis sp. subtype 2	944160	4	8	19.05%	10.75%	99.12%
SRR5127470	Blastocystis sp. subtype 3	944168	3	10	13.64%	4.61%	99.22%
SRR5127470	Saccharomyces cerevisiae S288C	559292	5	11	2.75%	5.14%	99.83%
SRR5127471	Blastocystis sp. subtype 4	944170	2	4	20.0%	2.99%	100.0%
SRR5127476	Blastocystis sp. subtype 2	944160	8	20	38.1%	8.02%	99.16%
SRR5127478	Blastocystis sp. subtype 3	944168	12	44	54.55%	11.06%	99.29%
SRR5127494	Blastocystis sp. subtype 2	944160	11	60	52.38%	17.07%	98.38%
SRR5127496	Blastocystis sp. subtype 4	944170	5	12	50.0%	9.26%	99.34%
SRR5127504	Blastocystis sp. subtype 2	944160	15	50	71.43%	10.22%	98.79%
SRR5127505	Blastocystis sp. subtype 2	944160	3	6	14.29%	3.11%	99.39%
SRR5127514	Blastocystis sp. ATCC 50177/Nand II	478820	3	6	15.0%	5.03%	98.66%
SRR5127514	Blastocystis sp. subtype 3	944168	3	4	13.64%	3.59%	98.93%
SRR5127515	Blastocystis sp. subtype 4	944170	5	10	50.0%	7.4%	99.86%
SRR5127519	Blastocystis sp. subtype 3	944168	4	9	18.18%	4.76%	99.56%
SRR5127522	Blastocystis sp. subtype 2	944160	9	25	42.86%	7.74%	98.71%
SRR5127523	Blastocystis sp. subtype 3	944168	3	9	13.64%	6.2%	98.69%
SRR5127524	Blastocystis sp. ATCC 50177/Nand II	478820	13	48	65.0%	12.88%	99.0%
SRR5127525	Blastocystis sp. subtype 3	944168	7	17	31.82%	4.48%	99.37%
SRR5127529	Blastocystis sp. subtype 3	944168	2	8	9.09%	12.94%	99.57%
SRR5127534	Blastocystis sp. subtype 2	944160	5	9	23.81%	4.55%	98.66%
SRR5127541	Blastocystis sp. subtype 2	944160	2	4	9.52%	5.89%	98.17%
SRR5127546	Blastocystis sp. subtype 4	944170	4	7	40.0%	8.61%	100.0%
SRR5127557	Blastocystis sp. subtype 2	944160	3	8	14.29%	7.57%	98.05%
SRR5127563	Blastocystis sp. subtype 2	944160	3	5	14.29%	4.63%	98.69%
SRR5127567	Blastocystis sp. ATCC 50177/Nand II	478820	8	18	40.0%	7.98%	99.55%
SRR5127575	Blastocystis sp. subtype 4	944170	3	7	30.0%	7.86%	99.76%
SRR5127580	Blastocystis sp. subtype 2	944160	8	18	38.1%	8.83%	99.01%
SRR5127587	Blastocystis sp. subtype 2	944160	11	34	52.38%	8.66%	98.53%
SRR5127588	Blastocystis sp. subtype 3	944168	2	4	9.09%	5.44%	98.16%
SRR5127602	Blastocystis sp. subtype 2	944160	3	6	14.29%	5.04%	99.23%
SRR5127603	Blastocystis sp. subtype 2	944160	2	4	9.52%	2.2%	98.79%
SRR5127608	Blastocystis sp. subtype 3	944168	15	51	68.18%	9.78%	99.5%
SRR5127613	Blastocystis sp. subtype 4	944170	4	20	40.0%	17.3%	99.84%
SRR5127619	Blastocystis sp. ATCC 50177/Nand II	478820	3	6	15.0%	4.33%	100.0%
SRR5127620	Blastocystis sp. ATCC 50177/Nand II	478820	3	5	15.0%	3.4%	98.37%
SRR5127621	Blastocystis sp. subtype 4	944170	3	6	30.0%	5.73%	99.52%
SRR5127630	Blastocystis sp. subtype 2	944160	18	73	85.71%	11.93%	98.68%
SRR5127633	Blastocystis sp. subtype 3	944168	8	31	36.36%	8.35%	99.4%
SRR5127636	Blastocystis sp. ATCC 50177/Nand II	478820	14	70	70.0%	14.74%	99.25%
SRR5127637	Blastocystis sp. subtype 2	944160	2	6	9.52%	6.09%	98.06%
SRR5127642	Blastocystis sp. subtype 3	944168	5	13	22.73%	5.56%	99.63%
SRR5127643	Saccharomyces cerevisiae S288C	559292	4	7	2.2%	6.39%	99.86%
SRR5127651	Saccharomyces cerevisiae S288C	559292	9	18	4.95%	8.07%	99.86%
SRR5127655	Blastocystis sp. subtype 2	944160	3	8	14.29%	6.74%	99.34%
SRR5127667	Blastocystis sp. subtype 4	944170	8	25	80.0%	12.19%	99.9%
SRR5127672	Pichia kudriavzevii	4909	3	8	1.9%	6.31%	99.87%
SRR5127679	Blastocystis sp. subtype 2	944160	5	18	23.81%	14.13%	98.79%
