sampleid	Name	Taxid	Observed_markers	Read_counts	Percent_observed_markers	Total_marker_coverage	Percent_identity
SRR5127393	Blastocystis sp. subtype 2	944160	4	7	19.05%	5.57%	99.11%
SRR5127394	Saccharomyces cerevisiae S288C	559292	2	4	1.1%	8.86%	98.78%
SRR5127397	Blastocystis sp. subtype 2	944160	16	83	76.19%	14.63%	98.9%
SRR5127400	Blastocystis sp. subtype 3	944168	15	61	68.18%	10.92%	99.56%
SRR5127406	Blastocystis sp. subtype 3	944168	15	62	68.18%	11.34%	99.45%
SRR5127407	Blastocystis sp. subtype 3	944168	8	18	36.36%	6.0%	99.17%
SRR5127408	Blastocystis sp. subtype 3	944168	4	15	18.18%	6.5%	99.29%
SRR5127411	Blastocystis sp. ATCC 50177/Nand II	478820	18	136	90.0%	25.39%	98.97%
SRR5127411	Saccharomyces cerevisiae S288C	559292	2	4	1.1%	8.47%	100.0%
SRR5127412	Blastocystis sp. ATCC 50177/Nand II	478820	14	64	70.0%	15.93%	99.15%
SRR5127417	Penicillium roqueforti FM164	1365484	59	138	29.65%	7.27%	99.97%
SRR5127422	Saccharomyces cerevisiae S288C	559292	8	15	4.4%	7.27%	99.76%
SRR5127425	Blastocystis sp. subtype 3	944168	7	17	31.82%	5.22%	99.46%
SRR5127425	Saccharomyces cerevisiae S288C	559292	7	12	3.85%	5.04%	99.59%
SRR5127425	Penicillium roqueforti FM164	1365484	2	4	1.01%	5.37%	100.0%
SRR5127434	Blastocystis sp. subtype 2	944160	10	34	47.62%	10.47%	99.19%
SRR5127434	Giardia lamblia ATCC 50803	184922	2	4	10.0%	8.77%	98.13%
SRR5127437	Saccharomyces cerevisiae S288C	559292	4	7	2.2%	4.05%	99.78%
SRR5127439	Blastocystis sp. subtype 4	944170	5	17	50.0%	12.16%	100.0%
SRR5127439	Saccharomyces cerevisiae S288C	559292	5	15	2.75%	6.22%	99.81%
SRR5127443	Blastocystis sp. subtype 2	944160	5	13	23.81%	6.79%	98.65%
SRR5127452	Saccharomyces cerevisiae S288C	559292	12	20	6.59%	5.81%	99.47%
SRR5127453	Saccharomyces cerevisiae S288C	559292	4	8	2.2%	3.93%	99.38%
SRR5127454	Saccharomyces cerevisiae S288C	559292	3	4	1.65%	1.95%	100.0%
SRR5127455	Blastocystis sp. subtype 2	944160	15	53	71.43%	12.61%	98.74%
SRR5127456	Blastocystis sp. subtype 3	944168	13	49	59.09%	9.33%	99.6%
SRR5127457	Blastocystis sp. ATCC 50177/Nand II	478820	13	51	65.0%	12.84%	99.44%
SRR5127458	Saccharomyces cerevisiae S288C	559292	7	12	3.85%	9.28%	99.69%
SRR5127459	Blastocystis sp. subtype 2	944160	16	62	76.19%	13.59%	98.96%
SRR5127461	Debaryomyces hansenii CBS767	284592	4	8	2.19%	3.79%	100.0%
SRR5127461	Candida sake	39397	3	5	1.67%	4.14%	99.26%
SRR5127463	Blastocystis sp. subtype 2	944160	15	101	71.43%	23.45%	98.87%
SRR5127466	Penicillium roqueforti FM164	1365484	5	9	2.51%	3.57%	100.0%
SRR5127469	Malassezia restricta	76775	2	4	1.33%	1.53%	98.89%
SRR5127470	Blastocystis sp. subtype 3	944168	11	63	50.0%	10.95%	99.62%
SRR5127470	Saccharomyces cerevisiae S288C	559292	27	56	14.84%	5.83%	99.76%
SRR5127471	Blastocystis sp. subtype 4	944170	6	17	60.0%	7.72%	99.55%
SRR5127476	Blastocystis sp. subtype 2	944160	17	110	80.95%	22.57%	98.9%
SRR5127478	Blastocystis sp. subtype 3	944168	19	193	86.36%	28.33%	99.46%
SRR5127480	Blastocystis sp. subtype 3	944168	4	9	18.18%	5.04%	99.86%
SRR5127489	Blastocystis sp. subtype 2	944160	2	6	9.52%	3.93%	97.22%
SRR5127490	Saccharomyces cerevisiae S288C	559292	5	11	2.75%	5.39%	99.67%
SRR5127492	Saccharomyces cerevisiae S288C	559292	5	9	2.75%	4.91%	99.81%
SRR5127494	Blastocystis sp. subtype 2	944160	19	218	90.48%	37.42%	98.93%
SRR5127495	Blastocystis sp. subtype 3	944168	4	8	18.18%	4.18%	99.61%
SRR5127496	Blastocystis sp. subtype 4	944170	10	59	100.0%	19.27%	99.65%
SRR5127499	Saccharomyces cerevisiae S288C	559292	8	15	4.4%	2.54%	99.5%
SRR5127504	Blastocystis sp. subtype 2	944160	20	178	95.24%	27.6%	99.01%
SRR5127505	Blastocystis sp. subtype 2	944160	7	21	33.33%	9.59%	99.17%
SRR5127514	Blastocystis sp. subtype 3	944168	14	38	63.64%	8.13%	99.01%
