Sample	Unique Reads	Duplicate Reads
SRR5127392_1_paired_fastp_fixedheaders_kneaddata_paired_1	16261197.0	5280735.0
SRR5127392_1_paired_fastp_fixedheaders_kneaddata_paired_2	16280358.0	5261574.0
SRR5127393_1_paired_fastp_fixedheaders_kneaddata_paired_1	12854426.0	2799448.0
SRR5127393_1_paired_fastp_fixedheaders_kneaddata_paired_2	12961201.0	2692673.0
SRR5127394_1_paired_fastp_fixedheaders_kneaddata_paired_1	15965533.0	3525562.0
SRR5127394_1_paired_fastp_fixedheaders_kneaddata_paired_2	16023457.0	3467638.0
SRR5127395_1_paired_fastp_fixedheaders_kneaddata_paired_1	14665842.0	2084491.0
SRR5127395_1_paired_fastp_fixedheaders_kneaddata_paired_2	14498386.0	2251947.0
SRR5127396_1_paired_fastp_fixedheaders_kneaddata_paired_1	7916785.0	970052.0
SRR5127396_1_paired_fastp_fixedheaders_kneaddata_paired_2	7964887.0	921950.0
SRR5127397_1_paired_fastp_fixedheaders_kneaddata_paired_1	15581701.0	2985821.0
SRR5127397_1_paired_fastp_fixedheaders_kneaddata_paired_2	15566773.0	3000749.0
SRR5127398_1_paired_fastp_fixedheaders_kneaddata_paired_1	6827763.0	876348.0
SRR5127398_1_paired_fastp_fixedheaders_kneaddata_paired_2	6848694.0	855417.0
SRR5127399_1_paired_fastp_fixedheaders_kneaddata_paired_1	9056330.0	1047506.0
SRR5127399_1_paired_fastp_fixedheaders_kneaddata_paired_2	9047885.0	1055951.0
SRR5127400_1_paired_fastp_fixedheaders_kneaddata_paired_1	10192232.0	1395937.0
SRR5127400_1_paired_fastp_fixedheaders_kneaddata_paired_2	10208757.0	1379412.0
SRR5127401_1_paired_fastp_fixedheaders_kneaddata_paired_1	10987185.0	1567880.0
SRR5127401_1_paired_fastp_fixedheaders_kneaddata_paired_2	10988237.0	1566828.0
SRR5127402_1_paired_fastp_fixedheaders_kneaddata_paired_1	12142117.0	2139952.0
SRR5127402_1_paired_fastp_fixedheaders_kneaddata_paired_2	12091518.0	2190551.0
SRR5127403_1_paired_fastp_fixedheaders_kneaddata_paired_1	9744620.0	1594470.0
SRR5127403_1_paired_fastp_fixedheaders_kneaddata_paired_2	9776735.0	1562355.0
SRR5127404_1_paired_fastp_fixedheaders_kneaddata_paired_1	9260800.0	1278097.0
SRR5127404_1_paired_fastp_fixedheaders_kneaddata_paired_2	9278135.0	1260762.0
SRR5127405_1_paired_fastp_fixedheaders_kneaddata_paired_1	11753451.0	2171039.0
SRR5127405_1_paired_fastp_fixedheaders_kneaddata_paired_2	11762148.0	2162342.0
SRR5127406_1_paired_fastp_fixedheaders_kneaddata_paired_1	12034501.0	2061642.0
SRR5127406_1_paired_fastp_fixedheaders_kneaddata_paired_2	11970585.0	2125558.0
SRR5127407_1_paired_fastp_fixedheaders_kneaddata_paired_1	10575334.0	1626119.0
SRR5127407_1_paired_fastp_fixedheaders_kneaddata_paired_2	10596138.0	1605315.0
SRR5127408_1_paired_fastp_fixedheaders_kneaddata_paired_1	8021544.0	1281788.0
SRR5127408_1_paired_fastp_fixedheaders_kneaddata_paired_2	8047378.0	1255954.0
SRR5127409_1_paired_fastp_fixedheaders_kneaddata_paired_1	8299262.0	1156399.0
SRR5127409_1_paired_fastp_fixedheaders_kneaddata_paired_2	8347084.0	1108577.0
SRR5127410_1_paired_fastp_fixedheaders_kneaddata_paired_1	10792463.0	2239201.0
SRR5127410_1_paired_fastp_fixedheaders_kneaddata_paired_2	10846537.0	2185127.0
SRR5127411_1_paired_fastp_fixedheaders_kneaddata_paired_1	11410958.0	1808858.0
SRR5127411_1_paired_fastp_fixedheaders_kneaddata_paired_2	11409176.0	1810640.0
SRR5127412_1_paired_fastp_fixedheaders_kneaddata_paired_1	12845748.0	2248929.0
SRR5127412_1_paired_fastp_fixedheaders_kneaddata_paired_2	12885883.0	2208794.0
SRR5127413_1_paired_fastp_fixedheaders_kneaddata_paired_1	10996725.0	1984343.0
SRR5127413_1_paired_fastp_fixedheaders_kneaddata_paired_2	10948827.0	2032241.0
SRR5127414_1_paired_fastp_fixedheaders_kneaddata_paired_1	13430041.0	2776778.0
SRR5127414_1_paired_fastp_fixedheaders_kneaddata_paired_2	13508531.0	2698288.0
SRR5127415_1_paired_fastp_fixedheaders_kneaddata_paired_1	11192638.0	2257255.0
SRR5127415_1_paired_fastp_fixedheaders_kneaddata_paired_2	11225233.0	2224660.0
SRR5127416_1_paired_fastp_fixedheaders_kneaddata_paired_1	9929987.0	1672403.0
SRR5127416_1_paired_fastp_fixedheaders_kneaddata_paired_2	9949469.0	1652921.0
SRR5127417_1_paired_fastp_fixedheaders_kneaddata_paired_1	12709099.0	3259604.0
SRR5127417_1_paired_fastp_fixedheaders_kneaddata_paired_2	12765010.0	3203693.0
SRR5127418_1_paired_fastp_fixedheaders_kneaddata_paired_1	12212778.0	2057695.0
SRR5127418_1_paired_fastp_fixedheaders_kneaddata_paired_2	12121093.0	2149380.0
SRR5127419_1_paired_fastp_fixedheaders_kneaddata_paired_1	10305162.0	1864704.0
SRR5127419_1_paired_fastp_fixedheaders_kneaddata_paired_2	10430499.0	1739367.0
SRR5127420_1_paired_fastp_fixedheaders_kneaddata_paired_1	15694888.0	2782328.0
SRR5127420_1_paired_fastp_fixedheaders_kneaddata_paired_2	15651900.0	2825316.0
SRR5127421_1_paired_fastp_fixedheaders_kneaddata_paired_1	10716003.0	2083989.0
SRR5127421_1_paired_fastp_fixedheaders_kneaddata_paired_2	10645190.0	2154802.0
SRR5127422_1_paired_fastp_fixedheaders_kneaddata_paired_1	21534121.0	7505874.0
SRR5127422_1_paired_fastp_fixedheaders_kneaddata_paired_2	21610170.0	7429825.0
SRR5127423_1_paired_fastp_fixedheaders_kneaddata_paired_1	10692613.0	2508806.0
SRR5127423_1_paired_fastp_fixedheaders_kneaddata_paired_2	10690253.0	2511166.0
SRR5127424_1_paired_fastp_fixedheaders_kneaddata_paired_1	11636885.0	1844671.0
SRR5127424_1_paired_fastp_fixedheaders_kneaddata_paired_2	11684189.0	1797367.0
SRR5127425_1_paired_fastp_fixedheaders_kneaddata_paired_1	8396311.0	1160019.0
SRR5127425_1_paired_fastp_fixedheaders_kneaddata_paired_2	8363566.0	1192764.0
SRR5127426_1_paired_fastp_fixedheaders_kneaddata_paired_1	10783301.0	2205931.0
SRR5127426_1_paired_fastp_fixedheaders_kneaddata_paired_2	10774361.0	2214871.0
SRR5127427_1_paired_fastp_fixedheaders_kneaddata_paired_1	8770163.0	1858870.0
SRR5127427_1_paired_fastp_fixedheaders_kneaddata_paired_2	8886361.0	1742672.0
SRR5127428_1_paired_fastp_fixedheaders_kneaddata_paired_1	12750059.0	2556963.0
SRR5127428_1_paired_fastp_fixedheaders_kneaddata_paired_2	12750340.0	2556682.0
SRR5127429_1_paired_fastp_fixedheaders_kneaddata_paired_1	12264115.0	2550979.0
SRR5127429_1_paired_fastp_fixedheaders_kneaddata_paired_2	12335984.0	2479110.0
SRR5127430_1_paired_fastp_fixedheaders_kneaddata_paired_1	8202286.0	1007037.0
SRR5127430_1_paired_fastp_fixedheaders_kneaddata_paired_2	8158719.0	1050604.0
SRR5127431_1_paired_fastp_fixedheaders_kneaddata_paired_1	10220596.0	1413533.0
SRR5127431_1_paired_fastp_fixedheaders_kneaddata_paired_2	10208887.0	1425242.0
SRR5127432_1_paired_fastp_fixedheaders_kneaddata_paired_1	10869129.0	1980764.0
SRR5127432_1_paired_fastp_fixedheaders_kneaddata_paired_2	10871095.0	1978798.0
SRR5127433_1_paired_fastp_fixedheaders_kneaddata_paired_1	9450331.0	2458181.0
SRR5127433_1_paired_fastp_fixedheaders_kneaddata_paired_2	9217008.0	2691504.0
SRR5127434_1_paired_fastp_fixedheaders_kneaddata_paired_1	8695140.0	1342804.0
SRR5127434_1_paired_fastp_fixedheaders_kneaddata_paired_2	8731437.0	1306507.0
SRR5127435_1_paired_fastp_fixedheaders_kneaddata_paired_1	14218405.0	3463053.0
SRR5127435_1_paired_fastp_fixedheaders_kneaddata_paired_2	14496328.0	3185130.0
SRR5127436_1_paired_fastp_fixedheaders_kneaddata_paired_1	8304768.0	1477462.0
SRR5127436_1_paired_fastp_fixedheaders_kneaddata_paired_2	8367539.0	1414691.0
SRR5127437_1_paired_fastp_fixedheaders_kneaddata_paired_1	14600276.0	3142836.0
SRR5127437_1_paired_fastp_fixedheaders_kneaddata_paired_2	14793977.0	2949135.0
SRR5127438_1_paired_fastp_fixedheaders_kneaddata_paired_1	9706846.0	1388925.0
SRR5127438_1_paired_fastp_fixedheaders_kneaddata_paired_2	9786678.0	1309093.0
SRR5127439_1_paired_fastp_fixedheaders_kneaddata_paired_1	14158521.0	2671785.0
SRR5127439_1_paired_fastp_fixedheaders_kneaddata_paired_2	14199003.0	2631303.0
SRR5127440_1_paired_fastp_fixedheaders_kneaddata_paired_1	7722379.0	1741103.0
SRR5127440_1_paired_fastp_fixedheaders_kneaddata_paired_2	7752955.0	1710527.0
SRR5127441_1_paired_fastp_fixedheaders_kneaddata_paired_1	12873247.0	2856380.0
SRR5127441_1_paired_fastp_fixedheaders_kneaddata_paired_2	12951301.0	2778326.0
SRR5127442_1_paired_fastp_fixedheaders_kneaddata_paired_1	9972171.0	1553172.0
SRR5127442_1_paired_fastp_fixedheaders_kneaddata_paired_2	9964410.0	1560933.0
SRR5127443_1_paired_fastp_fixedheaders_kneaddata_paired_1	13868387.0	1996235.0
SRR5127443_1_paired_fastp_fixedheaders_kneaddata_paired_2	13873080.0	1991542.0
SRR5127444_1_paired_fastp_fixedheaders_kneaddata_paired_1	11869938.0	2071877.0
SRR5127444_1_paired_fastp_fixedheaders_kneaddata_paired_2	11827604.0	2114211.0
SRR5127445_1_paired_fastp_fixedheaders_kneaddata_paired_1	10934209.0	1764219.0
SRR5127445_1_paired_fastp_fixedheaders_kneaddata_paired_2	10874390.0	1824038.0
SRR5127446_1_paired_fastp_fixedheaders_kneaddata_paired_1	12422693.0	2539644.0
SRR5127446_1_paired_fastp_fixedheaders_kneaddata_paired_2	12430716.0	2531621.0
SRR5127447_1_paired_fastp_fixedheaders_kneaddata_paired_1	8296700.0	1141557.0
SRR5127447_1_paired_fastp_fixedheaders_kneaddata_paired_2	8368806.0	1069451.0
SRR5127448_1_paired_fastp_fixedheaders_kneaddata_paired_1	12083125.0	3078569.0
SRR5127448_1_paired_fastp_fixedheaders_kneaddata_paired_2	12059658.0	3102036.0
SRR5127449_1_paired_fastp_fixedheaders_kneaddata_paired_1	10708309.0	2021956.0
SRR5127449_1_paired_fastp_fixedheaders_kneaddata_paired_2	10837189.0	1893076.0
SRR5127450_1_paired_fastp_fixedheaders_kneaddata_paired_1	8074147.0	1105466.0
SRR5127450_1_paired_fastp_fixedheaders_kneaddata_paired_2	8139473.0	1040140.0
SRR5127451_1_paired_fastp_fixedheaders_kneaddata_paired_1	11603384.0	3200727.0
SRR5127451_1_paired_fastp_fixedheaders_kneaddata_paired_2	11710319.0	3093792.0
SRR5127452_1_paired_fastp_fixedheaders_kneaddata_paired_1	8817790.0	1293583.0
SRR5127452_1_paired_fastp_fixedheaders_kneaddata_paired_2	8804256.0	1307117.0
SRR5127453_1_paired_fastp_fixedheaders_kneaddata_paired_1	14643403.0	3941538.0
SRR5127453_1_paired_fastp_fixedheaders_kneaddata_paired_2	14814414.0	3770527.0
SRR5127454_1_paired_fastp_fixedheaders_kneaddata_paired_1	8673142.0	1414373.0
SRR5127454_1_paired_fastp_fixedheaders_kneaddata_paired_2	8726992.0	1360523.0
SRR5127455_1_paired_fastp_fixedheaders_kneaddata_paired_1	12139591.0	1959884.0
SRR5127455_1_paired_fastp_fixedheaders_kneaddata_paired_2	12146923.0	1952552.0
SRR5127456_1_paired_fastp_fixedheaders_kneaddata_paired_1	13481830.0	2983823.0
SRR5127456_1_paired_fastp_fixedheaders_kneaddata_paired_2	13425659.0	3039994.0
SRR5127457_1_paired_fastp_fixedheaders_kneaddata_paired_1	11321928.0	1736437.0
SRR5127457_1_paired_fastp_fixedheaders_kneaddata_paired_2	11322426.0	1735939.0
SRR5127458_1_paired_fastp_fixedheaders_kneaddata_paired_1	11975243.0	2002204.0
SRR5127458_1_paired_fastp_fixedheaders_kneaddata_paired_2	12041865.0	1935582.0
SRR5127459_1_paired_fastp_fixedheaders_kneaddata_paired_1	9637989.0	2042017.0
SRR5127459_1_paired_fastp_fixedheaders_kneaddata_paired_2	9657786.0	2022220.0
SRR5127460_1_paired_fastp_fixedheaders_kneaddata_paired_1	13675187.0	3729865.0
SRR5127460_1_paired_fastp_fixedheaders_kneaddata_paired_2	13356337.0	4048715.0
SRR5127461_1_paired_fastp_fixedheaders_kneaddata_paired_1	8140143.0	1587511.0
SRR5127461_1_paired_fastp_fixedheaders_kneaddata_paired_2	8184979.0	1542675.0
SRR5127462_1_paired_fastp_fixedheaders_kneaddata_paired_1	9393825.0	1668784.0
SRR5127462_1_paired_fastp_fixedheaders_kneaddata_paired_2	9529822.0	1532787.0
SRR5127463_1_paired_fastp_fixedheaders_kneaddata_paired_1	14925723.0	3169649.0
SRR5127463_1_paired_fastp_fixedheaders_kneaddata_paired_2	14965672.0	3129700.0
SRR5127464_1_paired_fastp_fixedheaders_kneaddata_paired_1	14095334.0	3800875.0
SRR5127464_1_paired_fastp_fixedheaders_kneaddata_paired_2	14210666.0	3685543.0
SRR5127465_1_paired_fastp_fixedheaders_kneaddata_paired_1	10676237.0	2151822.0
SRR5127465_1_paired_fastp_fixedheaders_kneaddata_paired_2	10641806.0	2186253.0
SRR5127466_1_paired_fastp_fixedheaders_kneaddata_paired_1	13881528.0	2772628.0
SRR5127466_1_paired_fastp_fixedheaders_kneaddata_paired_2	13905786.0	2748370.0
SRR5127467_1_paired_fastp_fixedheaders_kneaddata_paired_1	14443284.0	5900022.0
SRR5127467_1_paired_fastp_fixedheaders_kneaddata_paired_2	14401043.0	5942263.0
SRR5127468_1_paired_fastp_fixedheaders_kneaddata_paired_1	10341989.0	2544103.0
SRR5127468_1_paired_fastp_fixedheaders_kneaddata_paired_2	10552381.0	2333711.0
SRR5127469_1_paired_fastp_fixedheaders_kneaddata_paired_1	10498486.0	1247953.0
SRR5127469_1_paired_fastp_fixedheaders_kneaddata_paired_2	10527438.0	1219001.0
SRR5127470_1_paired_fastp_fixedheaders_kneaddata_paired_1	9760279.0	1431823.0
SRR5127470_1_paired_fastp_fixedheaders_kneaddata_paired_2	9797868.0	1394234.0
SRR5127471_1_paired_fastp_fixedheaders_kneaddata_paired_1	9981437.0	1276551.0
SRR5127471_1_paired_fastp_fixedheaders_kneaddata_paired_2	9879538.0	1378450.0
SRR5127472_1_paired_fastp_fixedheaders_kneaddata_paired_1	10560643.0	1503626.0
SRR5127472_1_paired_fastp_fixedheaders_kneaddata_paired_2	10467331.0	1596938.0
SRR5127473_1_paired_fastp_fixedheaders_kneaddata_paired_1	12793048.0	2465803.0
SRR5127473_1_paired_fastp_fixedheaders_kneaddata_paired_2	12775752.0	2483099.0
SRR5127474_1_paired_fastp_fixedheaders_kneaddata_paired_1	7649221.0	1095053.0
SRR5127474_1_paired_fastp_fixedheaders_kneaddata_paired_2	7704118.0	1040156.0
SRR5127475_1_paired_fastp_fixedheaders_kneaddata_paired_1	10659449.0	2649752.0
SRR5127475_1_paired_fastp_fixedheaders_kneaddata_paired_2	10606714.0	2702487.0
SRR5127476_1_paired_fastp_fixedheaders_kneaddata_paired_1	10721900.0	1534132.0
SRR5127476_1_paired_fastp_fixedheaders_kneaddata_paired_2	10816022.0	1440010.0
