Sample	Unique Reads	Duplicate Reads
SRR5127392_1	15864757.0	6229274.0
SRR5127392_2	15998023.0	6096008.0
SRR5127393_1	15687177.0	4021114.0
SRR5127393_2	17506263.0	2202028.0
SRR5127394_1	16317196.0	4019558.0
SRR5127394_2	16501379.0	3835375.0
SRR5127395_1	15238811.0	2381197.0
SRR5127395_2	15057558.0	2562450.0
SRR5127396_1	10424628.0	1471816.0
SRR5127396_2	11219076.0	677368.0
SRR5127397_1	15844170.0	3428150.0
SRR5127397_2	15928139.0	3344181.0
SRR5127398_1	8052254.0	1277093.0
SRR5127398_2	8558603.0	770744.0
SRR5127399_1	9372033.0	1249754.0
SRR5127399_2	9373979.0	1247808.0
SRR5127400_1	10738868.0	1708902.0
SRR5127400_2	10815992.0	1631778.0
SRR5127401_1	11424127.0	1947138.0
SRR5127401_2	11487537.0	1883728.0
SRR5127402_1	14190818.0	2724460.0
SRR5127402_2	14959257.0	1956021.0
SRR5127403_1	11874084.0	2582939.0
SRR5127403_2	13241949.0	1215074.0
SRR5127404_1	9699561.0	1576707.0
SRR5127404_2	9763117.0	1513151.0
SRR5127405_1	12129075.0	2567286.0
SRR5127405_2	12261300.0	2435061.0
SRR5127406_1	12496115.0	2342384.0
SRR5127406_2	12470771.0	2367728.0
SRR5127407_1	12467082.0	2238416.0
SRR5127407_2	13310198.0	1395300.0
SRR5127408_1	9511381.0	1813805.0
SRR5127408_2	10157289.0	1167897.0
SRR5127409_1	10467889.0	1676528.0
SRR5127409_2	11289761.0	854656.0
SRR5127410_1	11180546.0	2684277.0
SRR5127410_2	11453991.0	2410832.0
SRR5127411_1	11901032.0	2192132.0
SRR5127411_2	11927173.0	2165991.0
SRR5127412_1	13146229.0	2689986.0
SRR5127412_2	13263163.0	2573052.0
SRR5127413_1	11421831.0	2302835.0
SRR5127413_2	11442493.0	2282173.0
SRR5127414_1	13792324.0	3438488.0
SRR5127414_2	14051229.0	3179583.0
SRR5127415_1	11676095.0	2770744.0
SRR5127415_2	11922087.0	2524752.0
SRR5127416_1	10304779.0	2066090.0
SRR5127416_2	10372138.0	1998731.0
SRR5127417_1	12621257.0	3944202.0
SRR5127417_2	12792752.0	3772707.0
SRR5127418_1	12899166.0	2414998.0
SRR5127418_2	12905067.0	2409097.0
SRR5127419_1	12570916.0	2899509.0
SRR5127419_2	14003488.0	1466937.0
SRR5127420_1	16276517.0	3314657.0
SRR5127420_2	16288186.0	3302988.0
SRR5127421_1	11216325.0	2482355.0
SRR5127421_2	11261597.0	2437083.0
SRR5127422_1	21437426.0	8533338.0
SRR5127422_2	21675236.0	8295528.0
SRR5127423_1	10777275.0	3026716.0
SRR5127423_2	10817491.0	2986500.0
SRR5127424_1	12007897.0	2178283.0
SRR5127424_2	12129648.0	2056532.0
SRR5127425_1	10070729.0	1632200.0
SRR5127425_2	10593676.0	1109253.0
SRR5127426_1	10780251.0	2738519.0
SRR5127426_2	10805236.0	2713534.0
SRR5127427_1	9687199.0	2759257.0
SRR5127427_2	10670935.0	1775521.0
SRR5127428_1	12782945.0	2952974.0
SRR5127428_2	12817890.0	2918029.0
SRR5127429_1	12709489.0	3022086.0
SRR5127429_2	12952484.0	2779091.0
SRR5127430_1	9564803.0	1293820.0
SRR5127430_2	9859303.0	999320.0
SRR5127431_1	10599721.0	1591005.0
SRR5127431_2	10611336.0	1579390.0
SRR5127432_1	11208895.0	2442113.0
SRR5127432_2	11279325.0	2371683.0
SRR5127433_1	9662629.0	3010854.0
SRR5127433_2	9485128.0	3188355.0
SRR5127434_1	8896047.0	1628224.0
SRR5127434_2	8991203.0	1533068.0
SRR5127435_1	17982794.0	5627717.0
SRR5127435_2	21395286.0	2215225.0
SRR5127436_1	9193000.0	2138253.0
SRR5127436_2	9810861.0	1520392.0
SRR5127437_1	18360660.0	4627461.0
SRR5127437_2	20884074.0	2104047.0
SRR5127438_1	10931343.0	1830139.0
SRR5127438_2	11535650.0	1225832.0
SRR5127439_1	14652741.0	3062075.0
SRR5127439_2	14771957.0	2942859.0
SRR5127440_1	8449694.0	2606901.0
SRR5127440_2	9261189.0	1795406.0
SRR5127441_1	13081139.0	3545232.0
SRR5127441_2	13302484.0	3323887.0
SRR5127442_1	10344749.0	1867474.0
SRR5127442_2	10370410.0	1841813.0
SRR5127443_1	14276164.0	2377517.0
SRR5127443_2	14323841.0	2329840.0
SRR5127444_1	12230555.0	2515628.0
SRR5127444_2	12222588.0	2523595.0
SRR5127445_1	11468357.0	2126434.0
SRR5127445_2	11408285.0	2186506.0
SRR5127446_1	12585551.0	2952141.0
SRR5127446_2	12665664.0	2872028.0
SRR5127447_1	10667759.0	1807857.0
SRR5127447_2	11626178.0	849438.0
SRR5127448_1	12027840.0	3789563.0
SRR5127448_2	12030042.0	3787361.0
SRR5127449_1	11984020.0	2965291.0
SRR5127449_2	13141592.0	1807719.0
SRR5127450_1	9538171.0	1628004.0
SRR5127450_2	10239606.0	926569.0
SRR5127451_1	11935161.0	3919101.0
SRR5127451_2	12307692.0	3546570.0
SRR5127452_1	8845096.0	1517823.0
SRR5127452_2	8854251.0	1508668.0
SRR5127453_1	14947360.0	4896577.0
SRR5127453_2	15357347.0	4486590.0
SRR5127454_1	10735578.0	2403391.0
SRR5127454_2	12082494.0	1056475.0
SRR5127455_1	12439136.0	2337974.0
SRR5127455_2	12496296.0	2280814.0
SRR5127456_1	13972648.0	3567652.0
SRR5127456_2	14088115.0	3452185.0
SRR5127457_1	11704617.0	2053951.0
SRR5127457_2	11733084.0	2025484.0
SRR5127458_1	12298776.0	2397862.0
SRR5127458_2	12438348.0	2258290.0
SRR5127459_1	9709293.0	2515735.0
SRR5127459_2	9798802.0	2426226.0
SRR5127460_1	13791731.0	4414723.0
SRR5127460_2	13370003.0	4836451.0
SRR5127461_1	9600248.0	2681746.0
SRR5127461_2	10900078.0	1381916.0
SRR5127462_1	11880987.0	3011995.0
SRR5127462_2	13751725.0	1141257.0
SRR5127463_1	14991893.0	3665240.0
SRR5127463_2	15114291.0	3542842.0
SRR5127464_1	14477007.0	4557447.0
SRR5127464_2	14837505.0	4196949.0
SRR5127465_1	10984267.0	2610666.0
SRR5127465_2	11059175.0	2535758.0
SRR5127466_1	14080443.0	3177915.0
SRR5127466_2	14190811.0	3067547.0
SRR5127467_1	13870816.0	6869141.0
SRR5127467_2	13856781.0	6883176.0
SRR5127468_1	12685430.0	4517132.0
SRR5127468_2	15367368.0	1835194.0
SRR5127469_1	10756313.0	1475688.0
SRR5127469_2	10879697.0	1352304.0
SRR5127470_1	12108824.0	2214781.0
SRR5127470_2	13254497.0	1069108.0
SRR5127471_1	10328927.0	1402386.0
SRR5127471_2	10215390.0	1515923.0
SRR5127472_1	11067981.0	1717517.0
SRR5127472_2	11008381.0	1777117.0
SRR5127473_1	12960138.0	2835422.0
SRR5127473_2	12991992.0	2803568.0
SRR5127474_1	9771079.0	1826552.0
SRR5127474_2	10801304.0	796327.0
SRR5127475_1	10733513.0	3283947.0
SRR5127475_2	10726659.0	3290801.0
SRR5127476_1	12964396.0	2061323.0
SRR5127476_2	13819797.0	1205922.0
SRR5127477_1	11244578.0	3122846.0
SRR5127477_2	11436160.0	2931264.0
SRR5127478_1	12376553.0	1905686.0
SRR5127478_2	12444281.0	1837958.0
SRR5127479_1	10036588.0	2317734.0
SRR5127479_2	10084337.0	2269985.0
SRR5127480_1	15439488.0	4201593.0
SRR5127480_2	15590509.0	4050572.0
SRR5127481_1	10325928.0	2274243.0
SRR5127481_2	11135933.0	1464238.0
SRR5127482_1	13936742.0	2184051.0
SRR5127482_2	14050522.0	2070271.0
SRR5127483_1	8802199.0	1247750.0
SRR5127483_2	9215767.0	834182.0
SRR5127484_1	11706408.0	2747906.0
SRR5127484_2	11593780.0	2860534.0
SRR5127485_1	9776992.0	2338896.0
SRR5127485_2	10492534.0	1623354.0
SRR5127486_1	12180604.0	1656900.0
SRR5127486_2	12267559.0	1569945.0
SRR5127487_1	11319520.0	2230965.0
SRR5127487_2	12513766.0	1036719.0
SRR5127488_1	10398585.0	1710524.0
SRR5127488_2	10434133.0	1674976.0
SRR5127489_1	12597295.0	2570557.0
SRR5127489_2	12773947.0	2393905.0
SRR5127490_1	14084355.0	5005964.0
SRR5127490_2	14199677.0	4890642.0
SRR5127491_1	11561837.0	2107023.0
SRR5127491_2	11619554.0	2049306.0
SRR5127492_1	8786261.0	1824172.0
SRR5127492_2	9593803.0	1016630.0
SRR5127493_1	9147378.0	1704690.0
SRR5127493_2	10114963.0	737105.0
SRR5127494_1	9822390.0	1837021.0
SRR5127494_2	9882042.0	1777369.0
SRR5127495_1	12440960.0	2503118.0
SRR5127495_2	12332187.0	2611891.0
SRR5127496_1	12714073.0	2117291.0
SRR5127496_2	12783608.0	2047756.0
SRR5127497_1	11550722.0	1852275.0
SRR5127497_2	11652062.0	1750935.0
SRR5127498_1	10371420.0	2271281.0
SRR5127498_2	10450429.0	2192272.0
SRR5127499_1	17422334.0	5404334.0
SRR5127499_2	17053151.0	5773517.0
SRR5127500_1	11159886.0	2444565.0
SRR5127500_2	11071510.0	2532941.0
SRR5127501_1	12126860.0	2349936.0
SRR5127501_2	12327567.0	2149229.0
SRR5127502_1	20660556.0	10148409.0
SRR5127502_2	20859441.0	9949524.0
SRR5127503_1	9212822.0	1205253.0
SRR5127503_2	9254660.0	1163415.0
SRR5127504_1	10150473.0	1537461.0
SRR5127504_2	10685154.0	1002780.0
SRR5127505_1	14246251.0	3133014.0
SRR5127505_2	14426907.0	2952358.0
SRR5127506_1	10997605.0	2212810.0
SRR5127506_2	11195464.0	2014951.0
SRR5127507_1	11305636.0	1921550.0
SRR5127507_2	12286640.0	940546.0
SRR5127508_1	11010455.0	2238519.0
SRR5127508_2	11990309.0	1258665.0
SRR5127509_1	10470861.0	1931277.0
SRR5127509_2	10540309.0	1861829.0
SRR5127510_1	10331687.0	1633638.0
SRR5127510_2	10034290.0	1931035.0
SRR5127511_1	12699165.0	1996045.0
SRR5127511_2	12758888.0	1936322.0
SRR5127512_1	11371280.0	2755621.0
SRR5127512_2	11460839.0	2666062.0
SRR5127513_1	12588782.0	2461331.0
SRR5127513_2	12667663.0	2382450.0
SRR5127514_1	10345631.0	1167816.0
SRR5127514_2	10311033.0	1202414.0
SRR5127515_1	9398751.0	1433133.0
SRR5127515_2	9386268.0	1445616.0
SRR5127516_1	13594662.0	2850151.0
SRR5127516_2	13700563.0	2744250.0
SRR5127517_1	13150468.0	2530707.0
SRR5127517_2	14090199.0	1590976.0
SRR5127518_1	13039039.0	5526351.0
SRR5127518_2	13276552.0	5288838.0
SRR5127519_1	10004061.0	1975119.0
SRR5127519_2	10037653.0	1941527.0
SRR5127520_1	15148620.0	6770168.0
SRR5127520_2	15271914.0	6646874.0
SRR5127521_1	11492626.0	3691353.0
SRR5127521_2	13611778.0	1572201.0
SRR5127522_1	15474523.0	3111680.0
SRR5127522_2	15556003.0	3030200.0
SRR5127523_1	13278957.0	3101673.0
SRR5127523_2	13572720.0	2807910.0
SRR5127524_1	14756992.0	2687047.0
SRR5127524_2	14864887.0	2579152.0
SRR5127525_1	8918149.0	1046075.0
SRR5127525_2	9286337.0	677887.0
SRR5127526_1	10002291.0	1637559.0
SRR5127526_2	10011238.0	1628612.0
SRR5127527_1	12989176.0	3192554.0
SRR5127527_2	14350590.0	1831140.0
SRR5127528_1	18122285.0	6513763.0
SRR5127528_2	18227052.0	6408996.0
SRR5127529_1	9683309.0	1225771.0
SRR5127529_2	10141444.0	767636.0
SRR5127530_1	17882027.0	5801327.0
SRR5127530_2	18198193.0	5485161.0
SRR5127531_1	12486330.0	2121669.0
SRR5127531_2	13413032.0	1194967.0
SRR5127532_1	10755268.0	2027511.0
SRR5127532_2	10755121.0	2027658.0
SRR5127533_1	16855856.0	5309320.0
SRR5127533_2	17074686.0	5090490.0
SRR5127534_1	11786446.0	1776058.0
SRR5127534_2	11608697.0	1953807.0
SRR5127535_1	8246747.0	1219637.0
SRR5127535_2	8135391.0	1330993.0
SRR5127536_1	10735200.0	1822088.0
SRR5127536_2	10611006.0	1946282.0
SRR5127537_1	15580808.0	3368870.0
SRR5127537_2	17543996.0	1405682.0
SRR5127538_1	10481188.0	1887371.0
SRR5127538_2	10297192.0	2071367.0
SRR5127539_1	11104669.0	1772842.0
SRR5127539_2	12167458.0	710053.0
SRR5127540_1	11061889.0	2183442.0
SRR5127540_2	11074374.0	2170957.0
SRR5127541_1	10924510.0	1860837.0
SRR5127541_2	11059679.0	1725668.0
SRR5127542_1	12625133.0	2342611.0
SRR5127542_2	12757416.0	2210328.0
SRR5127543_1	17922241.0	5359414.0
SRR5127543_2	18199878.0	5081777.0
SRR5127544_1	23894867.0	7465827.0
SRR5127544_2	27135366.0	4225328.0
SRR5127545_1	16026115.0	4259997.0
SRR5127545_2	16124443.0	4161669.0
SRR5127546_1	11614664.0	2038825.0
SRR5127546_2	11679761.0	1973728.0
SRR5127547_1	10263364.0	1249218.0
SRR5127547_2	10965819.0	546763.0
SRR5127548_1	12415183.0	2250906.0
SRR5127548_2	12429396.0	2236693.0
SRR5127549_1	10894729.0	2272271.0
SRR5127549_2	10955534.0	2211466.0
SRR5127550_1	7871068.0	1074490.0
SRR5127550_2	7812920.0	1132638.0
SRR5127551_1	13135057.0	3630171.0
SRR5127551_2	13468551.0	3296677.0
SRR5127552_1	17738431.0	5201709.0
SRR5127552_2	17740379.0	5199761.0
SRR5127553_1	12351805.0	3721939.0
SRR5127553_2	12463577.0	3610167.0
SRR5127554_1	11577257.0	2030937.0
SRR5127554_2	11771676.0	1836518.0
SRR5127555_1	11615250.0	2671572.0
SRR5127555_2	11811370.0	2475452.0
SRR5127556_1	12546655.0	2617206.0
SRR5127556_2	14084881.0	1078980.0
SRR5127557_1	11881537.0	2226628.0
SRR5127557_2	12932845.0	1175320.0
SRR5127558_1	11440190.0	2045726.0
SRR5127558_2	11404979.0	2080937.0
SRR5127559_1	17407855.0	4297514.0
SRR5127559_2	17660443.0	4044926.0
SRR5127560_1	14664368.0	5566130.0
SRR5127560_2	15014019.0	5216479.0
SRR5127561_1	12446108.0	2542252.0
SRR5127561_2	12305487.0	2682873.0
SRR5127562_1	13564239.0	3582122.0
SRR5127562_2	14845814.0	2300547.0
SRR5127563_1	12727591.0	2521950.0
SRR5127563_2	14179339.0	1070202.0
SRR5127564_1	12924000.0	2097826.0
SRR5127564_2	13033857.0	1987969.0
SRR5127565_1	11395497.0	3834563.0
SRR5127565_2	11613906.0	3616154.0
SRR5127566_1	17425474.0	4728648.0
SRR5127566_2	17428516.0	4725606.0
SRR5127567_1	17846627.0	4392956.0
SRR5127567_2	17953626.0	4285957.0
SRR5127568_1	13654183.0	4852567.0
SRR5127568_2	13892264.0	4614486.0
SRR5127569_1	9569354.0	1447718.0
SRR5127569_2	10352643.0	664429.0
SRR5127570_1	11728531.0	2234879.0
SRR5127570_2	13037038.0	926372.0
SRR5127571_1	18717394.0	7220528.0
SRR5127571_2	18781909.0	7156013.0
SRR5127572_1	9284694.0	1165318.0
SRR5127572_2	9063254.0	1386758.0
SRR5127573_1	10359582.0	2442731.0
SRR5127573_2	11424948.0	1377365.0
SRR5127574_1	10128200.0	2395388.0
SRR5127574_2	10243626.0	2279962.0
SRR5127575_1	15397100.0	3079591.0
SRR5127575_2	15591852.0	2884839.0
SRR5127576_1	10611391.0	2307995.0
SRR5127576_2	10436638.0	2482748.0
SRR5127577_1	9864678.0	1380758.0
SRR5127577_2	10429827.0	815609.0
SRR5127578_1	12777850.0	3018067.0
SRR5127578_2	13012195.0	2783722.0
SRR5127579_1	11384955.0	2135308.0
SRR5127579_2	12077415.0	1442848.0
SRR5127580_1	11543560.0	1470705.0
SRR5127580_2	11541789.0	1472476.0
SRR5127581_1	12722718.0	2225459.0
SRR5127581_2	13978232.0	969945.0
SRR5127582_1	8043809.0	1030035.0
SRR5127582_2	8364832.0	709012.0
SRR5127583_1	9931534.0	1679403.0
SRR5127583_2	10037047.0	1573890.0
SRR5127584_1	7727575.0	3138633.0
SRR5127584_2	7303777.0	3562431.0
SRR5127585_1	12344211.0	2256479.0
SRR5127585_2	12434406.0	2166284.0
SRR5127586_1	13306501.0	2455775.0
SRR5127586_2	13465939.0	2296337.0
SRR5127587_1	12616646.0	2149547.0
SRR5127587_2	12642959.0	2123234.0
SRR5127588_1	11694179.0	1445040.0
SRR5127588_2	11785087.0	1354132.0
SRR5127589_1	12380158.0	4050066.0
SRR5127589_2	12483089.0	3947135.0
SRR5127590_1	11562878.0	2292799.0
SRR5127590_2	11708025.0	2147652.0
SRR5127591_1	13784143.0	3683714.0
SRR5127591_2	15781482.0	1686375.0
SRR5127592_1	13840455.0	2657885.0
SRR5127592_2	14082212.0	2416128.0
SRR5127593_1	9626476.0	1662651.0
SRR5127593_2	9640106.0	1649021.0
SRR5127594_1	11678175.0	1996566.0
SRR5127594_2	11588166.0	2086575.0
SRR5127595_1	10501874.0	1825132.0
SRR5127595_2	11301035.0	1025971.0
SRR5127596_1	8413738.0	1220483.0
SRR5127596_2	8212022.0	1422199.0
SRR5127597_1	12955050.0	3672312.0
SRR5127597_2	13052358.0	3575004.0
SRR5127598_1	16006376.0	3938249.0
SRR5127598_2	17558951.0	2385674.0
SRR5127599_1	18096921.0	5927181.0
SRR5127599_2	18058291.0	5965811.0
SRR5127600_1	12532212.0	3820872.0
SRR5127600_2	14055696.0	2297388.0
SRR5127601_1	16837746.0	5239201.0
SRR5127601_2	19202142.0	2874805.0
SRR5127602_1	9514821.0	1937637.0
SRR5127602_2	9584983.0	1867475.0
SRR5127603_1	15115274.0	3343134.0
SRR5127603_2	15973763.0	2484645.0
SRR5127604_1	12343382.0	2514422.0
SRR5127604_2	13686006.0	1171798.0
SRR5127605_1	13705321.0	3103229.0
SRR5127605_2	14870489.0	1938061.0
SRR5127606_1	8484554.0	1303400.0
SRR5127606_2	8848998.0	938956.0
SRR5127607_1	12503252.0	2020284.0
SRR5127607_2	12667458.0	1856078.0
SRR5127608_1	21485774.0	5989307.0
SRR5127608_2	24643564.0	2831517.0
SRR5127609_1	13023398.0	2627169.0
SRR5127609_2	13066219.0	2584348.0
SRR5127610_1	9829252.0	1617031.0
SRR5127610_2	10660326.0	785957.0
SRR5127611_1	14063397.0	4171463.0
SRR5127611_2	14224746.0	4010114.0
SRR5127612_1	9658220.0	2718832.0
SRR5127612_2	10498492.0	1878560.0
SRR5127613_1	11158529.0	2103084.0
SRR5127613_2	12306317.0	955296.0
SRR5127614_1	14075880.0	3825256.0
SRR5127614_2	14119905.0	3781231.0
SRR5127615_1	14104339.0	2790682.0
SRR5127615_2	14332678.0	2562343.0
SRR5127616_1	10844409.0	1876997.0
SRR5127616_2	11805011.0	916395.0
SRR5127617_1	14708880.0	3182428.0
SRR5127617_2	14902087.0	2989221.0
SRR5127618_1	12622855.0	3049378.0
SRR5127618_2	12937221.0	2735012.0
SRR5127619_1	10618357.0	1792034.0
SRR5127619_2	10751770.0	1658621.0
SRR5127620_1	12491147.0	2443429.0
SRR5127620_2	12631578.0	2302998.0
SRR5127621_1	14169554.0	2411963.0
