Sample	Unique Reads	Duplicate Reads
SRR11599064	16602636.0	5505521.0
SRR11599065	16871490.0	11854378.0
SRR11599066	16587167.0	10662133.0
SRR11599067	12975700.0	7135567.0
SRR11599068	14756601.0	12095861.0
SRR11599069	12151259.0	9278968.0
SRR11599070	13999369.0	10751043.0
SRR11599071	9763015.0	5412186.0
SRR11599072	10257856.0	5761058.0
SRR11599073	11343519.0	6768058.0
SRR11599074	15014095.0	9543756.0
SRR11599075	8085413.0	4126219.0
SRR11599076	7558739.0	3631152.0
SRR11599077	10176277.0	5503435.0
SRR11599078	1253652.0	483939.0
SRR11599079	8438373.0	4790425.0
SRR11599080	11993188.0	6149106.0
SRR11599081	13100816.0	7447751.0
SRR11599082	12160649.0	6827601.0
SRR11599083	6040475.0	3252217.0
SRR11599084	12345010.0	8426567.0
SRR11599085	7583865.0	3561923.0
SRR11599086	15787112.0	8049735.0
SRR11599087	10187627.0	5972774.0
SRR11599088	7975763.0	4472009.0
SRR11599089	14136482.0	10222793.0
SRR11599090	7972854.0	4807868.0
SRR11599091	10172059.0	6395448.0
SRR11599092	11365564.0	5199345.0
SRR11599093	14181769.0	8055322.0
SRR11599094	1767069.0	214794.0
SRR11599095	11365208.0	7155675.0
SRR11599096	13493752.0	7417563.0
SRR11599097	9329135.0	5321755.0
SRR11599098	10872388.0	8344317.0
SRR11599099	3541228.0	1085030.0
SRR11599100	7259424.0	2960137.0
SRR11599101	11968626.0	7471183.0
SRR11599102	10607053.0	5762822.0
SRR11599103	9882212.0	6611697.0
SRR11599104	10391921.0	4985097.0
SRR11599105	8944287.0	6142120.0
SRR11599106	11692378.0	7804908.0
SRR11599107	11704144.0	6466637.0
SRR11599108	10263728.0	7003296.0
SRR11599109	13138757.0	7701250.0
SRR11599110	1714349.0	488235.0
SRR11599111	3268419.0	1015400.0
SRR11599112	4472478.0	1014805.0
SRR11599113	10113815.0	4065407.0
SRR11599114	9513143.0	4148726.0
SRR11599115	10695080.0	6165052.0
SRR11599116	10215578.0	7490458.0
SRR11599117	6622239.0	3228567.0
SRR11599118	14497296.0	9003416.0
SRR11599119	3071036.0	1252411.0
SRR11599120	5151182.0	2249978.0
SRR11599121	14640618.0	11709904.0
SRR11599122	2617041.0	1113150.0
SRR11599123	11446728.0	6050443.0
SRR11599124	8796554.0	4572443.0
SRR11599125	10728940.0	7529945.0
SRR11599126	8808261.0	4604373.0
SRR11599127	5508740.0	2384973.0
SRR11599128	6317037.0	3540675.0
SRR11599129	16649996.0	9391517.0
SRR11599130	11454064.0	6127525.0
SRR11599131	7483194.0	4035126.0
SRR11599132	12586227.0	7496203.0
SRR11599133	11944895.0	6394583.0
SRR11599134	8732782.0	4562945.0
SRR11599135	12107306.0	7759174.0
SRR11599136	8594910.0	4822285.0
SRR11599137	11716592.0	7601658.0
SRR11599138	12312128.0	7179854.0
SRR11599139	10343509.0	6118717.0
SRR11599140	14520788.0	8139445.0
SRR11599141	12109060.0	7581526.0
SRR11599142	15509386.0	9772088.0
SRR11599143	13177836.0	9245010.0
SRR11599144	12989996.0	6889531.0
SRR11599145	8569447.0	4543273.0
SRR11599146	6804792.0	3609241.0
SRR11599147	10639480.0	6316691.0
SRR11599148	4248120.0	1599995.0
SRR11599149	11807684.0	7354448.0
SRR11599150	5456359.0	2456210.0
SRR11599151	14639039.0	8710166.0
SRR11599152	8368566.0	5291627.0
SRR11599153	9454631.0	6278360.0
SRR11599154	11212177.0	10713265.0
SRR11599155	4382320.0	2020580.0
SRR11599156	9169987.0	7053256.0
SRR11599157	10616736.0	5176306.0
SRR11599158	8620150.0	4436187.0
SRR11599159	13970597.0	7979580.0
SRR11599160	8126993.0	4363689.0
SRR11599161	9211889.0	5513035.0
SRR11599162	7095322.0	3741057.0
SRR11599163	6769650.0	2125192.0
SRR11599164	6867620.0	3625071.0
SRR11599165	17465628.0	14649760.0
SRR11599166	13511978.0	8383016.0
SRR11599167	11365172.0	8999491.0
SRR11599168	3711622.0	2253574.0
SRR11599169	8345566.0	4068357.0
SRR11599170	13963198.0	8045609.0
SRR11599171	8159425.0	4403774.0
SRR11599172	11101458.0	6542373.0
SRR11599173	6510559.0	2893344.0
SRR11599174	9942522.0	5291646.0
SRR11599175	13086938.0	8826068.0
SRR11599176	6591306.0	1907541.0
SRR11599177	13242692.0	6189281.0
SRR11599178	2454019.0	916136.0
